course_id;course_name;module_code;module_name;course_subcategory;course_type;credits;required;availability;recommended_semester;prerequisites;frequency;language;description;url
373.386;Arbeitsrecht;L;Wahlmodul;;VO;3;;W;0;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/578007?$scrollTo=toc_overview
PHT.801UF;Enabling Innovation;L;Wahlmodul;;VO;1.5;;S;0;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/575462?$scrollTo=toc_overview
PHT.802UF;Enabling Innovation;L;Wahlmodul;;UE;3;;S;0;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/575761?$scrollTo=toc_overview
373.392;Steuerrecht;L;Wahlmodul;;VO;3;;W;0;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/577907?$scrollTo=toc_overview
371.201;Grundlagen der Industriebetriebslehre und Innovation;L;Wahlmodul;;VO;3;;W;0;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/577783?$scrollTo=toc_overview
;AK Informatikrecht und Datenschutz;L;Wahlmodul;;VO;3;;S;0;;yearly;;This course could be described here.;
372.236;Grundlagen der Unternehmensführung und Organisation;L;Wahlmodul;;VO;3;;S;0;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/524757?$scrollTo=toc_overview
706.004;Nachhaltige Technikgestaltung;L;Wahlmodul;;VU;4;;W;0;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/579796?$scrollTo=toc_overview
706.079;Vielfalt im Zentrum der Forschung;L;Wahlmodul;;SE;3;;S;0;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/524577?$scrollTo=toc_overview
INL.02020UF;Gesellschaftliche Aspekte der Informationstechnologie;L;Wahlmodul;;VU;3;;S;0;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/592262?$scrollTo=toc_overview
448.095;Bachelor Project;L;Wahlmodul;;PT;5;;S;0;;yearly;DE;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/524762?$scrollTo=toc_overview
448.024;Processor Architecture;L;Wahlmodul;;VO;3;;S;0;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/526895?$scrollTo=toc_overview
448.025;Processor Architecture, Laboratory;L;Wahlmodul;;LU;1.5;;S;0;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/526633?$scrollTo=toc_overview
700.100;Mentoring First Year Students;L;Wahlmodul;;SE;3;;B;0;;yearly;EN;This course could be described here.;https://online.tugraz.at/tug_online/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/595538?$scrollTo=toc_overview
